computer science,c100000
nursing medical surgical nursing 5 seats and communty health nursing 4 seats,c106214
bscin radiotherapy tech,c106215
paediatric,c106216
chn medi i sur ii,c106217
indian nursing council,c106218
cardiac perfusion,c106219
psychology and sociology,c106220
chn phc,c106221
10 and 2 science and arts,c106222
nursing course,c106223
as per syllebus,c106224
obg bursing,c106225
nursig,c106226
nephrology and urology,c106227
first aid environment hygiene nutrition peadiatric nursing mental health and psychiatric nursing medical surgical part i medical surgical part ii,c106228
medical surgical nursing child health nursing obg community health nursing,c106229
bio / english,c106230
inc syllabus,c106231
science or art subjects,c106232
pathololgy,c106233
medical lab technicain,c106234
genral nursing subject,c106235
science anatomy fon chn mhn msn obg micro bio soc psy eng computer nut peads adm nsg research stat,c106236
ms1 ms2 paediatric,c106237
midiwiferi and gynaecology,c106238
pathology lab technology,c106239
medical lab discipline,c106240
health and nursing,c106241
fundamental nursing community health nursing nuritriation obg and paediatric pre clinical science,c106242
diplomain nursing aide nursing aide,c106243
cardiovascular and thoracic nursing,c106244
pediatrics nursing,c106245
anatomy and phsiology,c106246
fon nut aph msimsii chc chc midwifery research administration chn ii bio bio,c106247
nursing and 1 clinical experience year,c106248
obstetrics gynaecological hursing,c106249
behavioural,c106250
medical radiologic technology asm,c106251
tech biochemistry,c106252
auxiliry nurse and midwife,c106253
chn health promotion primary health care child health nursing midwifery hcm,c106254
english anatomy physiology nutrition bio nursing fundamentals psychology micro biology introduction to computer odiya/hindi sociology pharmacology pathology and genetics medical surgical nursing 1 community health nursing i comm,c106255
paed nursing obg psy,c106256
10 and 2 with 40% marks preferable science,c106257
theory and practical,c106258
suject,c106259
pcb/pcm/arts,c106260
chn i chn hphm,c106261
msn paed chn obg psy,c106262
fon nutrition anatomy and physiology ms1 ms2 chc child health nursing midwifery,c106263
biocemistry,c106264
2016 17,c106265
community heath nursing health promotion primary health care child health nursing midwifry health centre and mgt,c106266
clinical specialty i and 2,c106267
mhn,c106268
orthopedics surgery,c106269
orthopedics,c106270
as per board,c106271
inc,c106272
10 and 2 pcbe minimum marks 45%,c106273
hha,c106274
bio science beh science fon chn 1 fon pract ms1 and 2 mhpn pract psy pract mid and gynae paed nsg chn 2 ppn pchn,c106275
medical microbiology part time,c106276
nrsing,c106277
1 maternity and obstetrical nursing 2 community health nursing ii3 nursing research and statistics 4 management nursing services and education,c106278
mphw male,c106279
obg and gyanecology,c106280
post,c106281
pharmacology pathology genetics,c106282
anotomh and physiology,c106283
d micro,c106284
child health nursing psychiatry nursing community health nursing,c106285
obstetrics,c106286
community health nursing primary health care health centre management child health nursing gyna,c106287
midwife and nursing,c106288
thoracic medicine,c106289
plastic surgery surgery,c106290
oral medicine and radiology,c106291
blood transfusion and ih,c106292
com medicine,c106293
radiation and imaging technology 3,c106294
paediatric genetics,c106295
tb and resp ds,c106296
post doctoral fellowship reproductive medicine,c106297
infectious diseases,c106298
perinatal medicine,c106299
tb chest,c106300
fon anatomy and physiology chn psychiology sociology fon practical,c106301
medical informatics,c106302
nursing paediatric,c106303
sanitary inspector,c106304
chn cdhn hp phch hcm mid,c106305
ebglish,c106306
nursing administration,c106307
orthopaedic and rehabilitation nursing,c106308
psy mhn chn msn mic mgt,c106309
nursing~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~nursing~~~~~~~~~~,c106310
cardio thoracic nursing,c106311
general nursin,c106312
health promotion primary health care child health nursing midwifery health center management curriculum practical,c106313
dentistry,c106314
department orthodontics and dentofacial orthopaedics,c106315
oral medicine,c106316
dentistrty,c106317
conservative dentistry and endodontics,c106318
public health dentistry,c106319
prosthodontics and crown and bridge asd,c106320
dental surgery,c106321
orthodontics and dentofacial orthopaedics,c106322
conservative,c106323
prosthodontics,c106324
pedodontics and preventive dentistry,c106325
second,c106326
anatomy and physiology fon chn behavioural science medical surgical nursing psychiatric nursing midwifery and gynealocogical nursing peadiatric nursing,c106327
orthodontics and dentaofacial orthopedics,c106328
periodontics,c106329
peridootnics,c106330
periodontology,c106331
oral pathology and radiology,c106332
oral and maxillofacial pathology external,c106333
oral and maxillofacial surgery,c106334
orthodontics,c106335
anatomy and physiology microbiology psychology fundamentals nursing first aids personal hygiene community health nursing environmental hygiene health education and comm skills nutrition english msn 1 msn ii mental health and psychiatric nurs,c106336
oral pathology and microbiology,c106337
dentisry,c106338
oral surgery,c106339
conservative dentistry and microbiology,c106340
pedodontics,c106341
oral pathology,c106342
oral medicine and radiology external,c106343
12th pass,c106344
community heath nursing,c106345
nursing external,c106346
nsg subjects,c106347
prosthodontics and crown and bridge,c106348
hpnchn paediatric etc,c106349
10 and 2 with english,c106350
pediatric community anatomy fundamental,c106351
medical surgical nurisng,c106352
medical surgical,c106353
prosthodontics and crown ridge,c106354
nursing sublects,c106355
allgnmsubjects,c106356
periodontics prosthodontics conservative dentistry pedodontics,c106357
public health dentistry asd,c106358
oral and maxillofacail surgery,c106359
anatomy and physiology sociology psychology fn chn i chn ii msn i msn iipn mid and gyn paediatric nursing,c106360
medi sug,c106361
and 2,c106362
students,c106363
orthodonitcs,c106364
third,c106365
hp phnc chn,c106366
prosthodontics crown and bridge external,c106367
in9 specialities,c106368
oral pathology and microbiolology,c106369
department periodontology,c106370
orthodontia,c106371
prosthodontics and crown bridges,c106372
paedodontics,c106373
medical surgical nursing/micro biology/bio and bio /foundation nursing/child health nursing/nursing education/nursing administration and management/ditetion nursing/community health nursing/sociology/nursing reasearch,c106374
anatomy and physiology fundamental nursing psychology and sociology community healty nursing medical surgical psychiatric obg pediatric nursing education health economics nursing administration nursing research,c106375
psychology anatomy fundamental community nutrition sociology,c106376
pharmacology dental material microbiology pre prosthodontics pre conservative general pathology,c106377
dental mechanics,c106378
conservative dentistry and endodontics and bridge,c106379
orthodonticss,c106380
oral pathology and microbiology asd,c106381
prosthetics and crown and bridge,c106382
dental mechanic,c106383
conservative dentistry and endodontic,c106384
department pedodontics and preventive dentistry,c106385
prosthetic dentistry and implantology,c106386
orthodontics and dentofacial orthopedics,c106387
bachelor,c106388
peiodontics external,c106389
implantology,c106390
nursing post basic,c106391
dental hygienist f/t,c106392
local,c106393
periodontia,c106394
pendontics,c106395
peadodontics and preventive dentistry,c106396
oral pathology amd microbiology,c106397
preventive and community dentistry,c106398
aesthetic dentistry,c106399
department prosthodontics craud ans bridge,c106400
periodonticstics,c106401
conservative and endodontics,c106402
orthodontics and dentofacial orthopedic,c106403
9 dept,c106404
dr ntr uhs,c106405
medical surgical nursing foundation nursing psychitric nursing anatomy physiology community health nursing nutrition psychology sociology midwifery and gynaecology nursing paediatric nursing nursing administration and ward management nursing reasearch,c106406
oral medice and radiology,c106407
orthodontics and dentofacial orthopedics asd,c106408
dental hygenists,c106409
prosthodontics and crown and bridge dspr,c106410
pediatric and preventive dentistry,c106411
chn fon mid,c106412
dentistry subjects,c106413
intern,c106414
orthodonticd,c106415
child health nursing heth promotion midwifery health center managment community heealth nursing,c106416
prostho,c106417
department oral pathology,c106418
omfs,c106419
periodontics and preventive dentistry,c106420
community health nursing health pramotiom primary health care nursing child health nursing midwifery health center menejment,c106421
