,discipline,discipline_clean
79878,D Orthopaedics,d orthopaedics
79883,DORTHO,dortho
79884,Orthopaedics (ORT),orthopaedics ort
79885,D.Ortho-Diploma in Orthopaedics,d ortho orthopaedics
79889,MD - Bio-Chemistry,bio
79894,M.S. Orthopaedics,orthopaedics
79902,D Ortho,d ortho
79904,MS Orthopaedics,orthopaedics
79905,Post Doctoral Fellowship in  Joint Replacement Surgery,post doctoral fellowship joint replacement surgery
79911,"Fundamental of nursing, Anatomy, Microbiology,",fundamental nursing anatomy microbiology
79918,Orthopaedics Dip,orthopaedics dip
79919,Diploma in Orthopaedics,orthopaedics
79920,MS - Orthopaedics,orthopaedics
79927,Orthopadeics,orthopadeics
79928,PEDITRICS,peditrics
79929,BHMS,homeopathy
79932,Homoeopathi,homoeopathi
79936,Homopath,homopath
79938,"Ana,Mat.Medica, Org.of Med., Patho., F.M.T., Obst.Gynae., Surgery, Pract.of Med., Community Med.,Homo. Repertory",ana mat medica org patho fmt obst gynae surgery pract community homo repertory
79939,Orananon of medicine,orananon medicine
79940,Homoeo,homoeo
79941,Homoeopathy,homoeopathy
79942,HOMOEOPATHY,homoeopathy
79944,orthopaedic,orthopaedic
79951,Paediatric Orthopaedics,paediatric orthopaedics
79970,Post Doctoral Fellowship in Joint Replacement,post doctoral fellowship joint replacement
79971,DNB Orthopaedic,dnb orthopaedic
79973,M.D. Orthopaedics,orthopaedics
79980,Post Doctoral Fellowship in Hand and Reconstructive Microsurgery,post doctoral fellowship hand and reconstructive microsurgery
79981,Orthopeadics,orthopeadics
79985,CHN -II,chn ii
79986,D.ortho,d ortho
79989,Ortho technician,ortho technician
79991,D'ORTHO,d'ortho
79994,D. Ortho,d ortho
80007,D.ORTHO,d ortho
80018,Ortthopedics,ortthopedics
80024,Post Doctoral Fellowship in Spine Surgery,post doctoral fellowship spine surgery
80025,Arthroscopy,arthroscopy
80031,"Orthopedics - D. ORTHO (ASM, Kochi)",orthopedics d ortho asm
80032,D Orthopedics,d orthopedics
80033,MS- Orthopadics,orthopadics
80038,Ph.D. Orthopaedics,orthopaedics
80048,DPT,dpt
80055,Physiotherapy & Rehabilitation,physiotherapy and rehabilitation
80057,D.ORTHO.,d ortho
80063,GENERAL SURGERY,general surgery
80065,MCh Cardio Thoracic Surgery,cardio thoracic surgery
80068,SURGICAL AND ALLIED,surgical and allied
80075,Surgery & allied,surgery and allied
80081,Theatre Technician,theatre technician
80082,MS-Shalya,shalya
80091,SHALYA TANTRA,shalya tantra
80098,POST DOCTORAL FELLOWSHIP IN MINIMAL ACCESS SURGERY - ABDOMINAL,post doctoral fellowship minimal access surgery abdominal
80113,MS General Surgery,general surgery
80115,Gen. Surgery,gen surgery
80118,Neuro surg,neuro surg
80119,Gen.Surg.,gen surg
80120,Pathology & genetics,pathology and genetics
80122,M.CH-PLASTIC SURGERY,plastic surgery
80133,M.Ch - Surgical Oncology,surgical oncology
80136,M.S. General Surgery,general surgery
80137,MCh Neuro  Surgery,neuro surgery
80140,Ph.D. General Surgery,general surgery
80142,General surgery,general surgery
80146,medical labortoy techonology,medical labortoy techonology
80154,General Surgery - Part Time,general surgery part time
80156,SHALYA,shalya
80157,General Surgery (GS),general surgery
80170,HEALTH CARE,health care
80176,MASTER OF SCIENCE NURSING,nursing
80180,ANOTOMY,anotomy
80217,"Community Health Nursing,Health Promotion,Primary HealthCare,Child Health Nursing,Midwifry,Health Centre and Mgt.",community health nursing health promotion primary healthcare child health nursing midwifry health centre and mgt
80228,MEDICAL SURGICAL NURSING-1,medical surgical nursing 1
80229,"fundamentals of nsg,anatomy and physiology.behavioural sciences,ms nsg,paediatrics,midwifery",fundamentals nsg anatomy and physiology behavioural science nsg paediatrics midwifery
80245,FUNDMENTAL OF NURSING,fundmental nursing
80269,"phc,chn,gynaecology,helth promotion",phc chn gynaecology helth promotion
80273,"Anatomy & Physiology, Fundamentals of Nursing, Psychology, Community HealthNursing, Pediatrics, Midwifery and Gynecology, Medical Surgical Nursing, Bio Chemistry, Pharmacology, Nursing Administration",anatomy and physiology fundamentals nursing psychology community healthnursing pediatrics midwifery and gynecology medical surgical nursing bio pharmacology nursing administration
80287,Suject,suject
80291,Post Basic Bachelor of Science in Nursing,post basic
80294,"HCM,MIDUIFERY",hcm miduifery
80303,Nursing & Midwifery,nursing and midwifery
80305,B.Sc.(N) Post Basic,post basic
80314,12TH PASS,12th pass
80317,O.B.G.NURSING,obg nursing
80329,Gerneral,gerneral
80369,UAPGCC in Critical Care Nursing,uapgcc critical care nursing
80384,any subject,subject
80386,"english,anatomy & physiology, nutrition & biochemistry, nursing foundation, psychology, microbiology, computer,sociology,pharmacolgy,pathology & genetics, medical surgical nsg-I,community health nsg-I,,CET,Medical surgical nsg-II,child health nsg,",english anatomy and physiology nutrition and biochemistry nursing foundation psychology microbiology computer sociology pharmacolgy pathology and genetics medical surgical nsg i community health nsg i cet medical surgical nsg ii child health nsg
80390,"Anatomy & Physiology, Fundamental of Nursing, Psycholo, microbiology, nutrition and biochemistry, medical surgical nursing, community health Nursing, pharmacology, pathology, genetics, child health nursing,Mental Health Nursing, Nursing Administration",anatomy and physiology fundamental nursing psycholo microbiology nutrition and biochemistry medical surgical nursing community health nursing pharmacology pathology genetics child health nursing mental health nursing nursing administration
80419,Bsc(N),nursing
80421,MEDICAL SURGICAL NURSING-11,medical surgical nursing 11
80428,Graduation in Nursing,graduation nursing
80436,"MS,CHN,Anatomy",chn anatomy
80444,M.Sc (Nursing),nursing
80456,"CHN,HP,PHC",chn hp phc
80471,Oral & Maxilofacial Surgery,oral and maxilofacial surgery
80479,Health care,health care
80480,PERIODONTAL,periodontal
80495,CRITICAL CARE  NURSING,critical care nursing
80502,Medical surgical Nursing,medical surgical nursing
80504,BSC(NURSING),nursing
80508,General Nursing &  Midwifery,nursing
80513,"CHN, CHILD HEALTH NURSING, HEALTH PROMOTION, PRIMARY HEALTH CARE NURSING, HEALTH CENTRE MANAGEMENT, MIDWIDFERY",chn child health nursing health promotion primary health care nursing health centre management midwidfery
80523,"Pediatric Nursing (ACN, Kochi)",pediatric nursing acn
80526,Hospital & Health Care Management,hospital and health care management
80536,Prosthodontics and crown  & Bridgen,prosthodontics and crown and bridgen
80545,"MIDWIFERY, PN, CHN",midwifery pn chn
80549,Consevative Dentistry,consevative dentistry
80550,DEPARTMENT OF CONSERVATIVE DENTISTRY AND ENDODONTICS,department conservative dentistry and endodontics
80564,As per ANM Syllabus,as per syllabus
80569,Diploma in Dental Mechanic,dental mechanic
80578,nURSING,nursing
80588,POST BASIC BSC,post basic
80589,"CHN,Health  Promotion,Primary Health Care nursing,Child Health Nursing",chn health promotion primary health care nursing child health nursing
80590,Multipurpose Health Worker (Female),multipurpose health worker female
80599,"NF, ND, BIOCHEM, MAT  NSG, SOCIO, NURSING RESEARCH, MHN",nfnd biochem mat nsg socio nursing research mhn
80603,"anatomy and physiology,nutrition and biochemistry,nursing foundation ,psychology,microbiology,computer,socoilogy,medical surgical nursing ,patho pharma genetics,community health nursing,communication and education and education tech,child health,mental he",anatomy and physiology nutrition and biochemistry nursing foundation psychology microbiology computer socoilogy medical surgical nursing patho pharma genetics community health nursing communication and education and education tech child health mental he
80606,COMUNICATION&EDUCATIONTECHNOLOGY,comunication and educationtechnology
80630,MIDWIFERY&OBG-1,midwifery and obg 1
80640,DNN NURSING,dnn nursing
80645,PB.BSc(N),nursing
80648,Neonatal Nursing,neonatal nursing
80653,"Nursing (ACN, Kochi)",nursing acn
80657,ALL BASIC NURSING SUBJECT,basic nursing subject
80669,new Nursing,new nursing
80673,"behavioral sciences,Biological  science, fundamentals of Nursing,Community Health Nursing I &II, English,Medical-surgical I& II, Mental Health & Psychiatric Nursing, Computer education,Midwifery & Gynecology,Pediatric Nursing, educational methods & Media,",behavioral science biological science fundamentals nursing community health nursing i and ii english medical surgical i and ii mental health and psychiatric nursing computer education midwifery and gynecology pediatric nursing educational methods and media
80677,periodontics,periodontics
80683,Nursiong,nursiong
80684,ALL SUBJECTS AS PER INC NORMS,subjects as per inc norms
80690,Oral &Maxillofacial Surgery,oral and maxillofacial surgery
80715,12th pass (Bio),12th pass bio
80722,ONMEB,onmeb
80727,Primary Health Care Nursing,primary health care nursing
80736,"1.Anatomy&Physiology,2.Nutrition&Biochemistry,3.NursingFoundation,4.Psychology,5.Microbiology,6.English,7.Introduction to Computer",1 anatomy and physiology 2 nutrition and biochemistry 3 nursingfoundation 4 psychology 5 microbiology 6 english 7 introduction to computer
80747,GENERAL NURSING  AND  MIDWIFERY,nursing
80759,"Primary Health Care, Health Promotion, Health centre managment, community health nursing, child health nursing, midwifery",primary health care health promotion health centre managment community health nursing child health nursing midwifery
80769,Implant Dentistry,implant dentistry
80770,Dental Materials,dental materials
80777,Medical &Surgical,medical and surgical
80781,Oral & Maxillofacial S,oral and maxillofacial s
80785,Master of Science in Medical Laboratory Technology in Microbiology,medical laboratory technology microbiology
80786,Oral Medicine &  Radiology,oral medicine and radiology
80787,Cons./Endo,cons /endo
80789,"Prosthodontics, Oral Surgery,  Conservative& Endodontics, Periodontics, Pedodontics",prosthodontics oral surgery conservative and endodontics periodontics pedodontics
80791,Oral Pathololgy,oral pathololgy
80792,Orthodontics & Dento Facial Orthopeadics (DSOD),orthodontics and dento facial orthopeadics dsod
80796,Micro-biology,micro biology
80799,Oral Medicine & Radiology (OMR),oral medicine and radiology omr
80802,Diploma in Dental Mechanics,dental mechanics
80820,"MIDWIFERY,MEDICAL SURGICAL I&II,PSYCHIATRIC NURSING,COMMUNITY HEALTH NURSING, PAEDIATRIC NURSING, BEHAVIOURAL SCIENCE,ANATOMY &PHYSIOLOGY,FUNDAMENTAL NURSING,NURSING REASEARCH,ADMINISTRATION &MANAGEMENT,PROFFESSIONAL TRENDS",midwifery medical surgical i and ii psychiatric nursing community health nursing paediatric nursing behavioural science anatomy and physiology fundamental nursing nursing reasearch administration and management proffessional trends
80821,PAEDODONTICS  & PREVENTIVE DENTISTRY,paedodontics and preventive dentistry
80830,PHARMAACY,pharmaacy
80833,Paedodontics,paedodontics
80836,Bachelor of Pharmacy,pharmacy
80841,Oral Pathology  & Microbiology,oral pathology and microbiology
80843,PHARMCOLOGY,pharmcology
80844,ORAL AND MAXILLO FACIAL SURGERY,oral and maxillo facial surgery
80848,Oral Medicine & Radiolog,oral medicine and radiolog
80856,UAPGCC in Oral Implantology,uapgcc oral implantology
80861,ORAL AND MAXILLOFACIAL  SURGERY,oral and maxillofacial surgery
80872,D V D,dvd
80873,DVL,dvl
80874,Radiothrapy,radiothrapy
80880,"Radio-Therapy (ASM, Kochi)",radio therapy asm
80882,B.D.S.,dentistry
80883,"Pharm.D Post Baccalaureate  (ASP, Kochi)",pharm d post baccalaureate asp
80884,PEDODONTICS & PREVENTIVE DENTISTRY,pedodontics and preventive dentistry
80886,Ph.D in Pharmacy,phdin pharmacy
80888,D.Pharm.,d pharm
80889,Gynaecology,gynaecology
80890,Radiation Oncology,radiation oncology
80892,Dental Operating  Room Assistant Course,dental operating room assistant course
80894,C.D.T.,cdt
80895,Dermatology - Part Time,dermatology part time
80896,Obstetrics & Gynecology,obstetrics and gynecology
80899,DGO,dgo
80901,Obstetric & Gynaecology,obstetric and gynaecology
80902,Obs-Gyn,obs gyn
80903,M.S. OBG,obg
80904,M.S. Gynaecology,gynaecology
80905,Gynae. & Obst.,gynae and obst
80910,Obstetrics And Gynaecology,obstetrics and gynaecology
80913,GYNAE & OBSTETRICS,gynae and obstetrics
80915,DENTALNTICS AND DENTOFACIAL ORTHOPAEDICS,dentalntics and dentofacial orthopaedics
80920,Oral Maxillofacial  Surgery,oral maxillofacial surgery
80923,DGO O & G,dgo o and g
80927,Diploma in Dental Hygienist,dental hygienist
80933,"Conservative Dentistry & Endodontics (ASD, Kochi)",conservative dentistry and endodontics asd
80936,Joint Replacement,joint replacement
80937,O&G,o and g
80938,Obst.& Gynaecology,obst and gynaecology
80940,MD DVL,dvl
80944,Obstetrics & gynaecology,obstetrics and gynaecology
80945,Diploma in Dental  Hygienist,dental hygienist
80948,Obst/ Gyn,obst/ gyn
80949,PRASUTI EVUM ISTRI ROGA,prasuti evum istri roga
80951,DEPARTMENT OF ORAL MEDICINE &  RADIOLOGY,department oral medicine and radiology
80971,MD/MS - Obstetrtics & Gynaecology,/ obstetrtics and gynaecology
80972,Obstetrics &  Gynecology,obstetrics and gynecology
80974,MS Obsterics and Gynecology,obsterics and gynecology
80976,MS-OBGY,obgy
80978,Dental Technology,dental technology
80980,Stri-Rog Prasuti Tantra,stri rog prasuti tantra
80982,Gynaecology (Gyn),gynaecology gyn
80983,OBSTETRICS & GYNECOLOGY,obstetrics and gynecology
80984,Obst.& Gyane,obst and gyane
80986,OBST & GYN,obst and gyn
80987,Obstetrics & Gyneacology,obstetrics and gyneacology
80988,Obstetrics Gynecology,obstetrics gynecology
80989,Obst. & Gynecology,obst and gynecology
80991,D G O,dgo
80992,Obst. & Gyn,obst and gyn
80998,Obstetrics and Gynecology,obstetrics and gynecology
80999,Oral & Maxi,oral and maxi
81000,Obst. & Gynae,obst and gynae
81003,OBST & GYNAE,obst and gynae
81005,DGO - Diploma in Obst. & Gynaecology,dgo obst and gynaecology
81007,Period ontology,period ontology
81009,AESTHETIC DENTISTRY,aesthetic dentistry
81010,Periodontics and Implantology,periodontics and implantology
81016,Prosthodontics & Crown & Bridge,prosthodontics and crown and bridge
81017,"Prosthodontics, Crown & Bridge including Implantology",prosthodontics crown and bridge including implantology
81023,Obstetrics  & Gyneacology,obstetrics and gyneacology
81026,Obs. & Gynaecology,obs and gynaecology
81027,OBS & GYNAE,obs and gynae
81028,Maternal Fetal Medicine,maternal fetal medicine
81032,Obst. & Gynaecology,obst and gynaecology
81036,G&O,g and o
81039,PG Diploma in Dental Materials,dental materials
81046,Obst. & Gynae.,obst and gynae
81047,MDS-ORTHODONTICS AND DENTOFACIAL ORTHOPAEDICS,orthodontics and dentofacial orthopaedics
81049,Gynac &OB,gynac and ob
81053,OBST & GYNAECOLOGY,obst and gynaecology
81054,Periodontics Dentistry,periodontics dentistry
81056,BUMS,gynaecology
81063,Gyane & Obst.,gyane and obst
81065,ORTHODONTICS AND DENTOFACIAL,orthodontics and dentofacial
81066,OBGY,obgy
81076,"Gen. Hum. Atom., Gen. Phy. & Bio., Dent. Mat.,Gen. Patho. & Micro., Gen. Dent. Gen. Dent. Pharma., Pre. Prostho. & Crown., Pre. Cons. Dent.,Gen. Med., Gen. Surg., Oral Patho. & Micro. ,",gen hum atom gen phy and bio dent mat gen patho and micro gen dent gen dent pharma pre prostho and crown pre cons dent gen gen surg oral patho and micro
81077,Gynaecological Oncology,gynaecological oncology
81079,Diploma in Obstetrics & Gynaecolog,obstetrics and gynaecolog
81082,Obstetrics and Gynaecology,obstetrics and gynaecology
81085,Paediatric & Preventive Dentistry,paediatric and preventive dentistry
81094,OBSTESTRICS AND GYNAECOLOGY,obstestrics and gynaecology
81096,Endogynecology,endogynecology
81099,DIP. IN  OBSTETRICS & GYNAECOLOGY,dip obstetrics and gynaecology
81119,Reproductive Medicine,reproductive medicine
81122,Gynacology,gynacology
81123,"Gynecology & Obstetrics - D.GO (ASM, Kochi)",gynecology and obstetrics dgo asm
81125,Diploma in Gynaecology,gynaecology
81128,MS PRASUTI TANTRA,prasuti tantra
81129,REPRODUCTIVE MEDICINE,reproductive medicine
81131,Obst. & Gynec,obst and gynec
81132,Diploma in OG,inog
81134,Community Dentistry,community dentistry
81136,PRASOOTI TANTRA AND STREE ROGA,prasooti tantra and stree roga
